"Agricultural land use area","Hectare"
"Area under arable land","499222.75"
"Area under meadows and pasture","4410.38"
"Area under permanent crops","53922.94"
"Area under Temporary crops","490416.98"
"Area under temporary fallow","7222.20"
"Area under temporary meadows","1583.57"
"Other land","24290.58"
"Ponds","612.34"
"Woodland and forest","20013.45"
