"Number of households by type of outer wall","Number"
"BambooWall","367048"
"Cement Bonded Bricks/Stone Wall","212984"
"Mud Bonded Bricks/Stone Wall","317987"
"Not stated","6601"
"Others","9952"
"Unbaked Bricks","2001"
"Wood/Planks","75177"
"Total","991750"
