"Agricultural Land Use","Hectare"
"All Other Land","33708.70"
"Land Used for Permanent Crop","53922.00"
"Land used for Permanent Meadows and Pastures","4410.40"
"Land used for Temporary Crop","490417.00"
"Wood Land and Forest","20013.40"
"Total","602471.50"
