"Population by Age of First Marriage","Number"
"10-14 Years",""
"Female","142356"
"Male","31366"
"15-19 Years",""
"Female","678002"
"Male","263762"
"20-24 Years",""
"Female","352353"
"Male","412064"
"25-29 Years",""
"Female","74680"
"Male","206067"
"30-34 Years",""
"Female","17088"
"Male","60857"
"35-39 Years",""
"Female","5112"
"Male","15793"
"40-44 Years",""
"Female","1705"
"Male","4550"
"45-49 Years",""
"Female","615"
"Male","1534"
"50 Years Above",""
"Female","393"
"Male","1047"
"Below 10 Year",""
"Female","18491"
"Male","4733"
