"Agricultural land use area","Hectare"
"Area under arable land","41465.29"
"Area under meadows and pasture","0.00"
"Area under permanent crops","225.02"
"Area under Temporary crops","41453.93"
"Area under temporary fallow","11.36"
"Area under temporary meadows","0.00"
"Other land","2644.08"
"Ponds","5.11"
"Woodland and forest","13.35"
