"Number of households by type of outer wall","Number"
"BambooWall","15284"
"Cement Bonded Bricks/Stone Wall","27486"
"Mud Bonded Bricks/Stone Wall","10294"
"Not stated","1037"
"Others","3986"
"Unbaked Bricks","641"
"Wood/Planks","23406"
"Total","82134"
