"Population by Five Years Age Group","Number"
"0-4",""
"Female","1464"
"Male","1424"
"10-14",""
"Female","1755"
"Male","1731"
"15-19",""
"Female","1305"
"Male","1093"
"20-24",""
"Female","1124"
"Male","846"
"25-29",""
"Female","845"
"Male","692"
"30-34",""
"Female","661"
"Male","516"
"35-39",""
"Female","597"
"Male","527"
"40-44",""
"Female","544"
"Male","434"
"45-49",""
"Female","397"
"Male","373"
"50-54",""
"Female","314"
"Male","340"
"55-59",""
"Female","253"
"Male","248"
"5-9",""
"Female","1830"
"Male","1710"
"60-64",""
"Female","263"
"Male","259"
"65-69",""
"Female","155"
"Male","151"
"70-74",""
"Female","88"
"Male","103"
"75+",""
"Female","66"
"Male","86"
