"Population by Religion","Number"
"Bahai","0"
"Bon","45"
"Buddism","752"
"Christianity","203"
"Hindu","8465"
"Islam","0"
"Jainism","0"
"Kirat","6270"
"Prakriti","2"
"Sikhism","0"
"Undefined","69"
"Total","15806"
