"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","871"
"Male","743"
"Chamling",""
"Female","8"
"Male","7"
"Chhetri",""
"Female","2585"
"Male","2257"
"Damai/Dholi",""
"Female","615"
"Male","544"
"Gharti/Bhujel",""
"Female","224"
"Male","224"
"Gurung",""
"Female","24"
"Male","25"
"Kami",""
"Female","1058"
"Male","970"
"Magar",""
"Female","4710"
"Male","4131"
"Musalman",""
"Female","11"
"Male","10"
"Newar",""
"Female","529"
"Male","520"
"Others",""
"Female","20"
"Male","19"
"Rai",""
"Female","1616"
"Male","1489"
"Sanyasi/Dasnami",""
"Female","287"
"Male","303"
"Sarki",""
"Female","609"
"Male","584"
"Sherpa",""
"Female","30"
"Male","20"
"Sunuwar",""
"Female","70"
"Male","83"
"Tamang",""
"Female","2850"
"Male","2481"
"Thakuri",""
"Female","53"
"Male","30"
"Tharu",""
"Female","8"
"Male","7"
"Undefined Others",""
"Female","46"
"Male","37"
"Yadav",""
"Female","6"
"Male","17"
