"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","12"
"Cow Dung","2"
"Electricity Fuel","4"
"KeroseneFuel","14"
"LP Gas","160"
"Not Sated about Fuel","23"
"OthersFuel","0"
"Wood/FireWood","3485"
"Total","3700"
