"Population by Religion","Number"
"Bahai","0"
"Bon","15"
"Buddism","1271"
"Christianity","237"
"Hindu","10851"
"Islam","6"
"Jainism","0"
"Kirat","2"
"Prakriti","838"
"Sikhism","0"
"Undefined","117"
"Total","13337"
