"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","209"
"Cow Dung","1958"
"Electricity","3"
"Kerosene","69"
"LP Gas","1450"
"Not stated","69"
"Others","79"
"Wood/Firewood","6445"
"Total","10282"
