"Number of households by type of outer wall","Number"
"BambooWall","1973"
"Cement Bonded Bricks/Stone Wall","5285"
"Mud Bonded Bricks/Stone Wall","2170"
"Not stated","79"
"Others","634"
"Unbaked Bricks","63"
"Wood/Planks","78"
"Total","10282"
