"Number of households by type of outer wall","Number"
"BambooWall","9059"
"Cement Bonded Bricks/Stone Wall","7521"
"Mud Bonded Bricks/Stone Wall","523"
"Not Stated about Wall","161"
"Other Type Wall","110"
"Unbaked Bricks","10"
"Wood/Planks","1226"
"Total","18610"
