"Number of households by type of outer wall","Number"
"BambooWall","4267"
"Cement Bonded Bricks/Stone Wall","796"
"Mud Bonded Bricks/Stone Wall","170"
"Not stated","130"
"Others","1"
"Unbaked Bricks","7"
"Wood/Planks","24"
"Total","5395"
