"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","66"
"Male","82"
"Brahman - Hill",""
"Female","606"
"Male","558"
"Chhetri",""
"Female","5698"
"Male","5358"
"Damai/Dholi",""
"Female","218"
"Male","190"
"Gurung",""
"Female","33"
"Male","35"
"Kami",""
"Female","885"
"Male","810"
"Lohar",""
"Female","22"
"Male","17"
"Magar",""
"Female","1413"
"Male","1276"
"Newar",""
"Female","47"
"Male","40"
"Others",""
"Female","24"
"Male","16"
"Rai",""
"Female","9"
"Male","10"
"Rajput",""
"Female","17"
"Male","11"
"Sanyasi/Dasnami",""
"Female","177"
"Male","163"
"Sarki",""
"Female","221"
"Male","228"
"Terai Others",""
"Female","5"
"Male","9"
"Thakuri",""
"Female","138"
"Male","138"
"Tharu",""
"Female","6"
"Male","5"
