"Population by Five Years Age Group","Number"
"0-4",""
"Female","1223"
"Male","1245"
"10-14",""
"Female","1396"
"Male","1386"
"15-19",""
"Female","1077"
"Male","926"
"20-24",""
"Female","865"
"Male","608"
"25-29",""
"Female","726"
"Male","546"
"30-34",""
"Female","576"
"Male","520"
"35-39",""
"Female","546"
"Male","492"
"40-44",""
"Female","415"
"Male","419"
"45-49",""
"Female","290"
"Male","334"
"50-54",""
"Female","271"
"Male","251"
"55-59",""
"Female","204"
"Male","244"
"5-9",""
"Female","1378"
"Male","1410"
"60-64",""
"Female","227"
"Male","195"
"65-69",""
"Female","186"
"Male","155"
"70-74",""
"Female","108"
"Male","123"
"75+",""
"Female","97"
"Male","92"
