"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","2153"
"Cow Dung","18"
"Electricity","38"
"Kerosene","134"
"LP Gas","7014"
"Not stated","106"
"Others","87"
"Wood/Firewood","6520"
"Total","16070"
