"Population by Five Years Age Group","Number"
"0-4",""
"Female","2069"
"Male","2404"
"10-14",""
"Female","4282"
"Male","4476"
"15-19",""
"Female","4214"
"Male","4253"
"20-24",""
"Female","4057"
"Male","2923"
"25-29",""
"Female","3430"
"Male","2300"
"30-34",""
"Female","2947"
"Male","2207"
"35-39",""
"Female","2765"
"Male","2110"
"40-44",""
"Female","2400"
"Male","2116"
"45-49",""
"Female","1756"
"Male","1771"
"50-54",""
"Female","1433"
"Male","1517"
"55-59",""
"Female","1083"
"Male","1113"
"5-9",""
"Female","3010"
"Male","3258"
"60-64",""
"Female","1031"
"Male","951"
"65-69",""
"Female","757"
"Male","784"
"70-74",""
"Female","546"
"Male","541"
"75+",""
"Female","867"
"Male","855"
