"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","153"
"Male","115"
"Chamling",""
"Female","12"
"Male","9"
"Chepang /Praja",""
"Female","8"
"Male","11"
"Chhetri",""
"Female","1309"
"Male","1184"
"Damai/Dholi",""
"Female","133"
"Male","106"
"Ghale",""
"Female","176"
"Male","160"
"Gharti/Bhujel",""
"Female","5"
"Male","8"
"Gurung",""
"Female","42"
"Male","23"
"Kami",""
"Female","390"
"Male","331"
"Kulung",""
"Female","1783"
"Male","1708"
"Lhomi",""
"Female","9"
"Male","4"
"Limbu",""
"Female","27"
"Male","17"
"Magar",""
"Female","71"
"Male","62"
"Mewahang Bala",""
"Female","226"
"Male","211"
"Nachhiring",""
"Female","574"
"Male","520"
"Newar",""
"Female","74"
"Male","73"
"Others",""
"Female","34"
"Male","38"
"Rai",""
"Female","460"
"Male","423"
"Samgpang",""
"Female","35"
"Male","38"
"Sanyasi/Dasnami",""
"Female","208"
"Male","191"
"Sarki",""
"Female","27"
"Male","23"
"Sherpa",""
"Female","281"
"Male","245"
"Sunuwar",""
"Female","12"
"Male","15"
"Tamang",""
"Female","514"
"Male","509"
"Thulung",""
"Female","70"
"Male","70"
"Yakkha",""
"Female","134"
"Male","101"
"Yamphu",""
"Female","79"
"Male","70"
