"Population by Five Years Age Group","Number"
"0-4",""
"Female","743"
"Male","723"
"10-14",""
"Female","955"
"Male","957"
"15-19",""
"Female","815"
"Male","719"
"20-24",""
"Female","570"
"Male","318"
"25-29",""
"Female","433"
"Male","298"
"30-34",""
"Female","358"
"Male","278"
"35-39",""
"Female","391"
"Male","295"
"40-44",""
"Female","332"
"Male","284"
"45-49",""
"Female","310"
"Male","310"
"50-54",""
"Female","289"
"Male","272"
"55-59",""
"Female","184"
"Male","206"
"5-9",""
"Female","871"
"Male","940"
"60-64",""
"Female","175"
"Male","199"
"65-69",""
"Female","145"
"Male","141"
"70-74",""
"Female","125"
"Male","150"
"75+",""
"Female","150"
"Male","175"
