"Population by Five Years Age Group","Number"
"0-4",""
"Female","2186"
"Male","2232"
"10-14",""
"Female","2931"
"Male","2793"
"15-19",""
"Female","1831"
"Male","1866"
"20-24",""
"Female","1736"
"Male","1256"
"25-29",""
"Female","1864"
"Male","1452"
"30-34",""
"Female","1598"
"Male","1165"
"35-39",""
"Female","1355"
"Male","1236"
"40-44",""
"Female","1106"
"Male","1019"
"45-49",""
"Female","987"
"Male","971"
"50-54",""
"Female","833"
"Male","835"
"55-59",""
"Female","763"
"Male","803"
"5-9",""
"Female","3092"
"Male","3285"
"60-64",""
"Female","744"
"Male","717"
"65-69",""
"Female","457"
"Male","533"
"70-74",""
"Female","338"
"Male","361"
"75+",""
"Female","247"
"Male","241"
