"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","44"
"Cow Dung","0"
"Electricity","0"
"Kerosene","3"
"LP Gas","128"
"Not stated","5"
"Others","1"
"Wood/Firewood","3944"
"Total","4125"
