"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","109"
"Male","124"
"","233"
"Chhetri",""
"Female","579"
"Male","617"
"","1196"
"Damai/Dholi",""
"Female","162"
"Male","142"
"","304"
"Gharti/Bhujel",""
"Female","61"
"Male","61"
"","122"
"Kami",""
"Female","279"
"Male","258"
"","537"
"Magar",""
"Female","1654"
"Male","1427"
"","3081"
"Majhi",""
"Female","17"
"Male","9"
"","26"
"Newar",""
"Female","526"
"Male","441"
"","967"
"Others",""
"Female","18"
"Male","27"
"","45"
"Pahari",""
"Female","21"
"Male","26"
"","47"
"Rai",""
"Female","1662"
"Male","1469"
"","3131"
"Sanyasi/Dasnami",""
"Female","21"
"Male","18"
"","39"
"Sarki",""
"Female","533"
"Male","539"
"","1072"
"Sunuwar",""
"Female","323"
"Male","273"
"","596"
"Tamang",""
"Female","992"
"Male","860"
"","1852"
"Thakuri",""
"Female","665"
"Male","634"
"","1299"
"Undefined Others",""
"Female","11"
"Male","4"
"","15"
