"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","292"
"Mud Roof","2777"
"Not Sated Roof","74"
"Other Type of Roof","240"
"RCC Roof","15"
"Thatch/Straw Roof","2977"
"Tile/Slate Roof","4675"
"Wood/Planks Roof","152"
"Total","11202"
