"Agricultural land use area","Hectare"
"Area under arable land","7241.00"
"Area under meadows and pasture","262.00"
"Area under permanent crops","159.00"
"Area under Temporary crops","6957.00"
"Area under temporary fallow","241.00"
"Area under temporary meadows","44.00"
"Other land","273.00"
"Ponds","1.00"
"Woodland and forest","23.00"
"Total","15201.00"
