"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","1175"
"Christianity","1960"
"Hindu","48848"
"Islam","17"
"Jainism","0"
"Kirat","0"
"Prakriti","63"
"Sikhism","0"
"Undefined","1120"
"Total","53184"
