"Population by Religion","Number"
"Bahai","0"
"Bon","106"
"Buddism","3825"
"Christianity","121"
"Hindu","13382"
"Islam","25"
"Jainism","0"
"Kirat","1"
"Prakriti","0"
"Sikhism","0"
"Undefined","693"
"Total","18153"
