"Population by Mother tongue","Number"
"Danuwar",""
"Female","8"
"Male","13"
"","21"
"Maithili",""
"Female","8636"
"Male","8090"
"","16726"
"Nepali",""
"Female","91"
"Male","96"
"","187"
"Newar",""
"Female","26"
"Male","20"
"","46"
"Not Reported",""
"Female","40"
"Male","43"
"","83"
"Others",""
"Female","11"
"Male","7"
"","18"
"Sunuwar",""
"Female","7"
"Male","13"
"","20"
"Tamang",""
"Female","24"
"Male","18"
"","42"
"Tharu",""
"Female","204"
"Male","188"
"","392"
"Uranw/Urau",""
"Female","126"
"Male","93"
"","219"
"Urdu",""
"Female","893"
"Male","722"
"","1615"
