"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","15"
"Male","13"
"Brahman - Hill",""
"Female","1920"
"Male","1504"
"Chhetri",""
"Female","3290"
"Male","2700"
"Damai/Dholi",""
"Female","429"
"Male","388"
"Gharti/Bhujel",""
"Female","141"
"Male","139"
"Jirel",""
"Female","242"
"Male","214"
"Kami",""
"Female","412"
"Male","349"
"Magar",""
"Female","36"
"Male","36"
"Newar",""
"Female","987"
"Male","833"
"Others",""
"Female","46"
"Male","28"
"Rai",""
"Female","10"
"Male","12"
"Sanyasi/Dasnami",""
"Female","256"
"Male","253"
"Sarki",""
"Female","544"
"Male","483"
"Sherpa",""
"Female","141"
"Male","137"
"Tamang",""
"Female","2251"
"Male","1941"
"Thami",""
"Female","61"
"Male","65"
