"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","90"
"Male","128"
"Chhetri",""
"Female","2823"
"Male","2814"
"Damai/Dholi",""
"Female","72"
"Male","76"
"Gurung",""
"Female","34"
"Male","22"
"Kami",""
"Female","402"
"Male","396"
"Magar",""
"Female","94"
"Male","86"
"Musalman",""
"Female","0"
"Male","13"
"Newar",""
"Female","18"
"Male","19"
"Others",""
"Female","7"
"Male","14"
"Sanyasi/Dasnami",""
"Female","8"
"Male","12"
"Sarki",""
"Female","107"
"Male","95"
"Tamang",""
"Female","39"
"Male","40"
"Thakali",""
"Female","8"
"Male","6"
"Thakuri",""
"Female","466"
"Male","451"
"Tharu",""
"Female","2"
"Male","17"
"Yadav",""
"Female","4"
"Male","7"
