"Population by Five Years Age Group","Number"
"0-4",""
"Female","562"
"Male","552"
"10-14",""
"Female","531"
"Male","497"
"15-19",""
"Female","467"
"Male","420"
"20-24",""
"Female","405"
"Male","414"
"25-29",""
"Female","336"
"Male","429"
"30-34",""
"Female","268"
"Male","319"
"35-39",""
"Female","233"
"Male","283"
"40-44",""
"Female","200"
"Male","233"
"45-49",""
"Female","178"
"Male","197"
"50-54",""
"Female","135"
"Male","162"
"55-59",""
"Female","97"
"Male","124"
"5-9",""
"Female","559"
"Male","580"
"60-64",""
"Female","95"
"Male","84"
"65-69",""
"Female","62"
"Male","53"
"70-74",""
"Female","24"
"Male","18"
"75+",""
"Female","26"
"Male","28"
