"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","771"
"Male","666"
"Chhetri",""
"Female","325"
"Male","298"
"Dalit Others",""
"Female","21"
"Male","10"
"Damai/Dholi",""
"Female","180"
"Male","140"
"Gharti/Bhujel",""
"Female","29"
"Male","31"
"Gurung",""
"Female","632"
"Male","540"
"Kami",""
"Female","477"
"Male","414"
"Khawas",""
"Female","6"
"Male","7"
"Limbu",""
"Female","2739"
"Male","2430"
"Magar",""
"Female","304"
"Male","284"
"Newar",""
"Female","296"
"Male","262"
"Others",""
"Female","14"
"Male","13"
"Rai",""
"Female","91"
"Male","72"
"Sanyasi/Dasnami",""
"Female","15"
"Male","19"
"Sarki",""
"Female","77"
"Male","62"
"Sherpa",""
"Female","653"
"Male","533"
"Sunuwar",""
"Female","16"
"Male","12"
"Tamang",""
"Female","721"
"Male","613"
"Undefined Others",""
"Female","3"
"Male","8"
