"Population by Five Years Age Group","Number"
"0-4",""
"Female","702"
"Male","703"
"10-14",""
"Female","976"
"Male","875"
"15-19",""
"Female","838"
"Male","834"
"20-24",""
"Female","650"
"Male","428"
"25-29",""
"Female","487"
"Male","302"
"30-34",""
"Female","412"
"Male","283"
"35-39",""
"Female","405"
"Male","287"
"40-44",""
"Female","380"
"Male","329"
"45-49",""
"Female","386"
"Male","311"
"50-54",""
"Female","301"
"Male","317"
"55-59",""
"Female","255"
"Male","245"
"5-9",""
"Female","906"
"Male","894"
"60-64",""
"Female","208"
"Male","206"
"65-69",""
"Female","151"
"Male","118"
"70-74",""
"Female","136"
"Male","132"
"75+",""
"Female","177"
"Male","150"
