"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","3446"
"Male","3157"
"Chepang /Praja",""
"Female","7"
"Male","8"
"Chhetri",""
"Female","937"
"Male","833"
"Damai/Dholi",""
"Female","96"
"Male","106"
"Gurung",""
"Female","36"
"Male","26"
"Kami",""
"Female","313"
"Male","261"
"Magar",""
"Female","308"
"Male","251"
"Newar",""
"Female","177"
"Male","176"
"Others",""
"Female","25"
"Male","33"
"Sanyasi/Dasnami",""
"Female","11"
"Male","6"
"Sunuwar",""
"Female","12"
"Male","10"
"Tamang",""
"Female","7657"
"Male","7391"
"Terai Others",""
"Female","8"
"Male","8"
"Thakuri",""
"Female","10"
"Male","13"
