"Population by Five Years Age Group","Number"
"0-4",""
"Female","1216"
"Male","1187"
"10-14",""
"Female","1859"
"Male","1873"
"15-19",""
"Female","1648"
"Male","1415"
"20-24",""
"Female","1176"
"Male","980"
"25-29",""
"Female","929"
"Male","805"
"30-34",""
"Female","798"
"Male","666"
"35-39",""
"Female","762"
"Male","695"
"40-44",""
"Female","723"
"Male","655"
"45-49",""
"Female","538"
"Male","541"
"50-54",""
"Female","503"
"Male","528"
"55-59",""
"Female","357"
"Male","401"
"5-9",""
"Female","1587"
"Male","1579"
"60-64",""
"Female","304"
"Male","321"
"65-69",""
"Female","247"
"Male","255"
"70-74",""
"Female","167"
"Male","163"
"75+",""
"Female","229"
"Male","272"
