"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","138"
"Male","123"
"Brahman - Hill",""
"Female","1437"
"Male","1319"
"Brahman - Tarai",""
"Female","4"
"Male","11"
"Chhetri",""
"Female","6643"
"Male","5902"
"Damai/Dholi",""
"Female","366"
"Male","336"
"Gurung",""
"Female","14"
"Male","12"
"Kami",""
"Female","2187"
"Male","1918"
"Lohar",""
"Female","5"
"Male","6"
"Magar",""
"Female","2028"
"Male","1856"
"Musalman",""
"Female","24"
"Male","38"
"Newar",""
"Female","30"
"Male","28"
"Others",""
"Female","24"
"Male","15"
"Sanyasi/Dasnami",""
"Female","356"
"Male","323"
"Sarki",""
"Female","536"
"Male","496"
"Terai Others",""
"Female","10"
"Male","9"
"Thakuri",""
"Female","641"
"Male","603"
