"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","638"
"Male","578"
"Chhetri",""
"Female","981"
"Male","809"
"Dalit Others",""
"Female","70"
"Male","50"
"Damai/Dholi",""
"Female","110"
"Male","104"
"Gurung",""
"Female","87"
"Male","80"
"Kami",""
"Female","618"
"Male","513"
"Kumal",""
"Female","69"
"Male","44"
"Magar",""
"Female","7243"
"Male","6301"
"Musalman",""
"Female","7"
"Male","7"
"Newar",""
"Female","76"
"Male","75"
"Others",""
"Female","23"
"Male","22"
"Sanyasi/Dasnami",""
"Female","55"
"Male","45"
"Sarki",""
"Female","236"
"Male","139"
"Tamang",""
"Female","16"
"Male","15"
"Thakali",""
"Female","19"
"Male","17"
"Thakuri",""
"Female","17"
"Male","6"
"Undefined Others",""
"Female","6"
"Male","9"
