"Population by Five Years Age Group","Number"
"0-4",""
"Female","946"
"Male","966"
"10-14",""
"Female","1253"
"Male","1358"
"15-19",""
"Female","1211"
"Male","1127"
"20-24",""
"Female","1048"
"Male","644"
"25-29",""
"Female","822"
"Male","482"
"30-34",""
"Female","636"
"Male","417"
"35-39",""
"Female","622"
"Male","439"
"40-44",""
"Female","582"
"Male","431"
"45-49",""
"Female","457"
"Male","373"
"50-54",""
"Female","386"
"Male","357"
"55-59",""
"Female","346"
"Male","337"
"5-9",""
"Female","1093"
"Male","1117"
"60-64",""
"Female","320"
"Male","268"
"65-69",""
"Female","204"
"Male","216"
"70-74",""
"Female","162"
"Male","160"
"75+",""
"Female","183"
"Male","167"
