"Population by Five Years Age Group","Number"
"0-4",""
"Female","1444"
"Male","1532"
"10-14",""
"Female","1804"
"Male","1871"
"15-19",""
"Female","1252"
"Male","1439"
"20-24",""
"Female","1086"
"Male","1008"
"25-29",""
"Female","1012"
"Male","1029"
"30-34",""
"Female","950"
"Male","826"
"35-39",""
"Female","811"
"Male","887"
"40-44",""
"Female","710"
"Male","700"
"45-49",""
"Female","544"
"Male","609"
"50-54",""
"Female","419"
"Male","462"
"55-59",""
"Female","402"
"Male","407"
"5-9",""
"Female","1865"
"Male","1969"
"60-64",""
"Female","386"
"Male","408"
"65-69",""
"Female","288"
"Male","318"
"70-74",""
"Female","241"
"Male","225"
"75+",""
"Female","138"
"Male","149"
