"Number of households by type of outer wall","Number"
"BambooWall","6552"
"Cement Bonded Bricks/Stone Wall","1471"
"Mud Bonded Bricks/Stone Wall","253"
"Not stated","240"
"Others","21"
"Unbaked Bricks","20"
"Wood/Planks","114"
"Total","8671"
