"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","59"
"Male","72"
"Brahman - Hill",""
"Female","673"
"Male","581"
"Chamar/ Harijan/ Ram",""
"Female","13"
"Male","8"
"Chhetri",""
"Female","3254"
"Male","2778"
"Damai/Dholi",""
"Female","278"
"Male","230"
"Gharti/Bhujel",""
"Female","157"
"Male","152"
"Gurung",""
"Female","21"
"Male","19"
"Kami",""
"Female","217"
"Male","195"
"Magar",""
"Female","616"
"Male","528"
"Majhi",""
"Female","43"
"Male","41"
"Newar",""
"Female","579"
"Male","506"
"Others",""
"Female","13"
"Male","27"
"Rai",""
"Female","27"
"Male","16"
"Sanyasi/Dasnami",""
"Female","130"
"Male","106"
"Sarki",""
"Female","432"
"Male","370"
"Sherpa",""
"Female","154"
"Male","160"
"Sunuwar",""
"Female","175"
"Male","146"
"Tamang",""
"Female","686"
"Male","587"
