"Population by Mother tongue","Number"
"Baitadeli",""
"Female","212"
"Male","204"
"","416"
"Bajjika",""
"Female","6603"
"Male","6849"
"","13452"
"Bangla",""
"Female","5"
"Male","7"
"","12"
"Bhojpuri",""
"Female","110"
"Male","99"
"","209"
"Danuwar",""
"Female","231"
"Male","213"
"","444"
"Hindi",""
"Female","48"
"Male","59"
"","107"
"Magar",""
"Female","236"
"Male","192"
"","428"
"Maithili",""
"Female","1442"
"Male","1507"
"","2949"
"Majhi",""
"Female","12"
"Male","11"
"","23"
"Nepali",""
"Female","2298"
"Male","2181"
"","4479"
"Newar",""
"Female","56"
"Male","55"
"","111"
"Not Reported",""
"Female","111"
"Male","97"
"","208"
"Others",""
"Female","32"
"Male","19"
"","51"
"Rai",""
"Female","7"
"Male","6"
"","13"
"Sign Language",""
"Female","3"
"Male","8"
"","11"
"Tamang",""
"Female","307"
"Male","264"
"","571"
"Tharu",""
"Female","3151"
"Male","2949"
"","6100"
"Urdu",""
"Female","3912"
"Male","3841"
"","7753"
"Wambule",""
"Female","8"
"Male","6"
"","14"
