"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","21042"
"Mud Roof","16"
"Not Sated Roof","1088"
"Other Type of Roof","93"
"RCC Roof","38641"
"Thatch/Straw Roof","868"
"Tile/Slate Roof","6630"
"Wood/Planks Roof","179"
"Total","68557"
