"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","5"
"Christianity","101"
"Hindu","19272"
"Islam","25"
"Jainism","0"
"Kirat","0"
"Prakriti","0"
"Sikhism","0"
"Undefined","0"
"Total","19404"
