"Population by Single Year of Age","Number"
"0",""
"Female","242"
"Male","259"
"1",""
"Female","258"
"Male","272"
"10",""
"Female","388"
"Male","413"
"11",""
"Female","342"
"Male","367"
"12",""
"Female","473"
"Male","476"
"13",""
"Female","399"
"Male","382"
"14",""
"Female","380"
"Male","372"
"15",""
"Female","381"
"Male","307"
"16",""
"Female","355"
"Male","298"
"17",""
"Female","307"
"Male","249"
"18",""
"Female","440"
"Male","343"
"19",""
"Female","254"
"Male","204"
"2",""
"Female","308"
"Male","316"
"20",""
"Female","306"
"Male","199"
"21",""
"Female","297"
"Male","187"
"22",""
"Female","336"
"Male","208"
"23",""
"Female","247"
"Male","149"
"24",""
"Female","236"
"Male","210"
"25",""
"Female","332"
"Male","244"
"26",""
"Female","230"
"Male","216"
"27",""
"Female","187"
"Male","240"
"28",""
"Female","273"
"Male","286"
"29",""
"Female","127"
"Male","215"
"3",""
"Female","332"
"Male","334"
"30",""
"Female","330"
"Male","253"
"31",""
"Female","99"
"Male","128"
"32",""
"Female","192"
"Male","155"
"33",""
"Female","117"
"Male","122"
"34",""
"Female","125"
"Male","109"
"35",""
"Female","394"
"Male","299"
"36",""
"Female","159"
"Male","128"
"37",""
"Female","96"
"Male","94"
"38",""
"Female","181"
"Male","159"
"39",""
"Female","96"
"Male","93"
"4",""
"Female","348"
"Male","393"
"40",""
"Female","318"
"Male","279"
"41",""
"Female","86"
"Male","89"
"42",""
"Female","118"
"Male","142"
"43",""
"Female","87"
"Male","103"
"44",""
"Female","75"
"Male","88"
"45",""
"Female","252"
"Male","207"
"46",""
"Female","86"
"Male","85"
"47",""
"Female","83"
"Male","74"
"48",""
"Female","107"
"Male","130"
"49",""
"Female","60"
"Male","66"
"5",""
"Female","363"
"Male","342"
"50",""
"Female","228"
"Male","181"
"51",""
"Female","68"
"Male","75"
"52",""
"Female","103"
"Male","91"
"53",""
"Female","55"
"Male","60"
"54",""
"Female","50"
"Male","60"
"55",""
"Female","122"
"Male","128"
"56",""
"Female","69"
"Male","70"
"57",""
"Female","39"
"Male","51"
"58",""
"Female","83"
"Male","66"
"59",""
"Female","41"
"Male","56"
"6",""
"Female","348"
"Male","360"
"60",""
"Female","201"
"Male","166"
"61",""
"Female","65"
"Male","58"
"62",""
"Female","77"
"Male","66"
"63",""
"Female","42"
"Male","50"
"64",""
"Female","33"
"Male","56"
"65",""
"Female","118"
"Male","102"
"66",""
"Female","26"
"Male","39"
"67",""
"Female","38"
"Male","31"
"68",""
"Female","56"
"Male","58"
"69",""
"Female","17"
"Male","16"
"7",""
"Female","330"
"Male","341"
"70",""
"Female","86"
"Male","60"
"71",""
"Female","22"
"Male","26"
"72",""
"Female","16"
"Male","24"
"73",""
"Female","16"
"Male","19"
"74",""
"Female","9"
"Male","16"
"75",""
"Female","35"
"Male","30"
"76",""
"Female","9"
"Male","13"
"77",""
"Female","7"
"Male","14"
"78",""
"Female","11"
"Male","21"
"79",""
"Female","4"
"Male","10"
"8",""
"Female","372"
"Male","412"
"80",""
"Female","41"
"Male","21"
"81",""
"Female","3"
"Male","5"
"82",""
"Female","8"
"Male","8"
"83",""
"Female","6"
"Male","7"
"84",""
"Female","2"
"Male","3"
"85",""
"Female","19"
"Male","29"
"9",""
"Female","333"
"Male","329"
