"Population by Five Years Age Group","Number"
"0-4",""
"Female","1488"
"Male","1574"
"10-14",""
"Female","1982"
"Male","2010"
"15-19",""
"Female","1737"
"Male","1401"
"20-24",""
"Female","1422"
"Male","953"
"25-29",""
"Female","1149"
"Male","1201"
"30-34",""
"Female","863"
"Male","767"
"35-39",""
"Female","926"
"Male","773"
"40-44",""
"Female","684"
"Male","701"
"45-49",""
"Female","588"
"Male","562"
"50-54",""
"Female","504"
"Male","467"
"55-59",""
"Female","354"
"Male","371"
"5-9",""
"Female","1746"
"Male","1784"
"60-64",""
"Female","418"
"Male","396"
"65-69",""
"Female","255"
"Male","246"
"70-74",""
"Female","149"
"Male","145"
"75+",""
"Female","145"
"Male","161"
