"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","56"
"Male","57"
"Brahman - Hill",""
"Female","1633"
"Male","1453"
"Chhetri",""
"Female","5625"
"Male","4979"
"Damai/Dholi",""
"Female","652"
"Male","579"
"Gharti/Bhujel",""
"Female","11"
"Male","5"
"Gurung",""
"Female","195"
"Male","163"
"Kami",""
"Female","1975"
"Male","1660"
"Magar",""
"Female","1542"
"Male","1326"
"Musalman",""
"Female","7"
"Male","11"
"Newar",""
"Female","349"
"Male","345"
"Others",""
"Female","29"
"Male","47"
"Sanyasi/Dasnami",""
"Female","121"
"Male","112"
"Sarki",""
"Female","1067"
"Male","846"
"Tamang",""
"Female","8"
"Male","8"
"Terai Others",""
"Female","6"
"Male","8"
"Thakuri",""
"Female","1090"
"Male","1017"
"Tharu",""
"Female","22"
"Male","19"
"Yadav",""
"Female","4"
"Male","10"
