"Number of households by type of outer wall","Number"
"BambooWall","184"
"Cement Bonded Bricks/Stone Wall","4362"
"Mud Bonded Bricks/Stone Wall","5708"
"Not stated","64"
"Others","17"
"Unbaked Bricks","2"
"Wood/Planks","85"
"Total","10422"
