"Population by Five Years Age Group","Number"
"0-4",""
"Female","1653"
"Male","1718"
"10-14",""
"Female","2531"
"Male","2734"
"15-19",""
"Female","2241"
"Male","2150"
"20-24",""
"Female","2081"
"Male","1356"
"25-29",""
"Female","1957"
"Male","1311"
"30-34",""
"Female","1520"
"Male","956"
"35-39",""
"Female","1408"
"Male","857"
"40-44",""
"Female","1257"
"Male","945"
"45-49",""
"Female","1103"
"Male","876"
"50-54",""
"Female","961"
"Male","851"
"55-59",""
"Female","773"
"Male","726"
"5-9",""
"Female","2151"
"Male","2368"
"60-64",""
"Female","715"
"Male","568"
"65-69",""
"Female","516"
"Male","450"
"70-74",""
"Female","394"
"Male","390"
"75+",""
"Female","552"
"Male","530"
