"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","466"
"Male","503"
"Bhujel",""
"Female","6"
"Male","5"
"Bote",""
"Female","477"
"Male","392"
"Chepang",""
"Female","496"
"Male","476"
"Darai",""
"Female","177"
"Male","161"
"Gurung",""
"Female","383"
"Male","330"
"Hindi",""
"Female","20"
"Male","19"
"Magar",""
"Female","198"
"Male","175"
"Maithili",""
"Female","33"
"Male","31"
"Nepali",""
"Female","12771"
"Male","10024"
"Newar",""
"Female","55"
"Male","43"
"Not Reported",""
"Female","9"
"Male","8"
"Others",""
"Female","23"
"Male","23"
"Rai",""
"Female","9"
"Male","8"
"Tamang",""
"Female","570"
"Male","564"
"Tharu",""
"Female","5114"
"Male","4114"
