"Population by Five Years Age Group","Number"
"0-4",""
"Female","1607"
"Male","1663"
"10-14",""
"Female","2534"
"Male","2436"
"15-19",""
"Female","2414"
"Male","1906"
"20-24",""
"Female","1984"
"Male","1099"
"25-29",""
"Female","1762"
"Male","917"
"30-34",""
"Female","1397"
"Male","834"
"35-39",""
"Female","1377"
"Male","864"
"40-44",""
"Female","1191"
"Male","838"
"45-49",""
"Female","1116"
"Male","935"
"50-54",""
"Female","909"
"Male","843"
"55-59",""
"Female","676"
"Male","711"
"5-9",""
"Female","2003"
"Male","2023"
"60-64",""
"Female","654"
"Male","581"
"65-69",""
"Female","508"
"Male","486"
"70-74",""
"Female","302"
"Male","347"
"75+",""
"Female","392"
"Male","455"
