"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","118"
"Mud Roof","5"
"Not Sated Roof","37"
"Other Type of Roof","3"
"RCC Roof","8"
"Thatch/Straw Roof","842"
"Tile/Slate Roof","3245"
"Wood/Planks Roof","1"
"Total","4259"
