"Number of households by type of outer wall","Number"
"BambooWall","2056"
"Cement Bonded Bricks/Stone Wall","770"
"Mud Bonded Bricks/Stone Wall","69"
"Not stated","78"
"Others","3"
"Unbaked Bricks","0"
"Wood/Planks","66"
"Total","3042"
