"Population by Five Years Age Group","Number"
"0-4",""
"Female","1295"
"Male","1305"
"10-14",""
"Female","1277"
"Male","1285"
"15-19",""
"Female","726"
"Male","1057"
"20-24",""
"Female","799"
"Male","749"
"25-29",""
"Female","805"
"Male","827"
"30-34",""
"Female","753"
"Male","672"
"35-39",""
"Female","623"
"Male","688"
"40-44",""
"Female","531"
"Male","573"
"45-49",""
"Female","352"
"Male","453"
"50-54",""
"Female","338"
"Male","352"
"55-59",""
"Female","330"
"Male","334"
"5-9",""
"Female","1554"
"Male","1707"
"60-64",""
"Female","290"
"Male","300"
"65-69",""
"Female","276"
"Male","290"
"70-74",""
"Female","172"
"Male","222"
"75+",""
"Female","81"
"Male","125"
