"Number of households by type of outer wall","Number"
"BambooWall","1901"
"Cement Bonded Bricks/Stone Wall","2640"
"Mud Bonded Bricks/Stone Wall","785"
"Not stated","112"
"Others","20"
"Unbaked Bricks","17"
"Wood/Planks","160"
"Total","5635"
