"Population by Single Year of Age","Number"
"0",""
"Female","324"
"Male","344"
"1",""
"Female","218"
"Male","220"
"10",""
"Female","722"
"Male","726"
"11",""
"Female","297"
"Male","308"
"12",""
"Female","541"
"Male","678"
"13",""
"Female","357"
"Male","345"
"14",""
"Female","406"
"Male","496"
"15",""
"Female","340"
"Male","466"
"16",""
"Female","357"
"Male","449"
"17",""
"Female","220"
"Male","273"
"18",""
"Female","386"
"Male","516"
"19",""
"Female","162"
"Male","182"
"2",""
"Female","384"
"Male","383"
"20",""
"Female","463"
"Male","650"
"21",""
"Female","120"
"Male","150"
"22",""
"Female","331"
"Male","393"
"23",""
"Female","214"
"Male","180"
"24",""
"Female","184"
"Male","218"
"25",""
"Female","553"
"Male","618"
"26",""
"Female","174"
"Male","211"
"27",""
"Female","153"
"Male","222"
"28",""
"Female","343"
"Male","319"
"29",""
"Female","71"
"Male","108"
"3",""
"Female","407"
"Male","393"
"30",""
"Female","689"
"Male","662"
"31",""
"Female","67"
"Male","75"
"32",""
"Female","286"
"Male","247"
"33",""
"Female","190"
"Male","137"
"34",""
"Female","128"
"Male","123"
"35",""
"Female","625"
"Male","809"
"36",""
"Female","170"
"Male","167"
"37",""
"Female","122"
"Male","121"
"38",""
"Female","212"
"Male","199"
"39",""
"Female","48"
"Male","48"
"4",""
"Female","413"
"Male","428"
"40",""
"Female","519"
"Male","740"
"41",""
"Female","42"
"Male","48"
"42",""
"Female","145"
"Male","161"
"43",""
"Female","99"
"Male","48"
"44",""
"Female","49"
"Male","58"
"45",""
"Female","413"
"Male","538"
"46",""
"Female","55"
"Male","71"
"47",""
"Female","49"
"Male","55"
"48",""
"Female","124"
"Male","121"
"49",""
"Female","31"
"Male","42"
"5",""
"Female","500"
"Male","588"
"50",""
"Female","350"
"Male","436"
"51",""
"Female","23"
"Male","32"
"52",""
"Female","65"
"Male","89"
"53",""
"Female","50"
"Male","42"
"54",""
"Female","20"
"Male","28"
"55",""
"Female","307"
"Male","277"
"56",""
"Female","38"
"Male","40"
"57",""
"Female","27"
"Male","37"
"58",""
"Female","83"
"Male","62"
"59",""
"Female","18"
"Male","23"
"6",""
"Female","485"
"Male","519"
"60",""
"Female","322"
"Male","376"
"61",""
"Female","19"
"Male","35"
"62",""
"Female","44"
"Male","53"
"63",""
"Female","36"
"Male","18"
"64",""
"Female","14"
"Male","26"
"65",""
"Female","246"
"Male","251"
"66",""
"Female","15"
"Male","18"
"67",""
"Female","14"
"Male","21"
"68",""
"Female","27"
"Male","48"
"69",""
"Female","11"
"Male","12"
"7",""
"Female","437"
"Male","490"
"70",""
"Female","167"
"Male","194"
"71",""
"Female","6"
"Male","6"
"72",""
"Female","13"
"Male","19"
"73",""
"Female","7"
"Male","7"
"74",""
"Female","1"
"Male","7"
"75",""
"Female","78"
"Male","65"
"76",""
"Female","4"
"Male","4"
"77",""
"Female","4"
"Male","5"
"78",""
"Female","8"
"Male","11"
"79",""
"Female","1"
"Male","4"
"8",""
"Female","632"
"Male","661"
"80",""
"Female","37"
"Male","50"
"81",""
"Female","2"
"Male","0"
"82",""
"Female","6"
"Male","2"
"83",""
"Female","2"
"Male","0"
"84",""
"Female","2"
"Male","0"
"85",""
"Female","30"
"Male","39"
"9",""
"Female","319"
"Male","356"
