"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","7"
"Cow Dung","1071"
"Electricity","3"
"Kerosene","95"
"LP Gas","1145"
"Not stated","107"
"Others","14"
"Wood/Firewood","3193"
"Total","5635"
