"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","3562"
"Mud Roof","0"
"Not Sated Roof","1701"
"Other Type of Roof","456"
"RCC Roof","29745"
"Thatch/Straw Roof","17735"
"Tile/Slate Roof","41535"
"Wood/Planks Roof","782"
"Total","95516"
