"Agricultural land use area","Hectare"
"Area under arable land","46690.00"
"Area under meadows and pasture","82.00"
"Area under permanent crops","687.00"
"Area under Temporary crops","46206.00"
"Area under temporary fallow","432.00"
"Area under temporary meadows","51.00"
"Other land","1271.00"
"Ponds","61.00"
"Woodland and forest","109.00"
"Total","95589.00"
