"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","7"
"Cow Dung","0"
"Electricity","3"
"Kerosene","66"
"LP Gas","909"
"Not stated","106"
"Others","18"
"Wood/Firewood","9797"
"Total","10906"
