"Population by Five Years Age Group","Number"
"0-4",""
"Female","1966"
"Male","1975"
"10-14",""
"Female","3325"
"Male","3228"
"15-19",""
"Female","3002"
"Male","2422"
"20-24",""
"Female","2322"
"Male","1515"
"25-29",""
"Female","1871"
"Male","1358"
"30-34",""
"Female","1555"
"Male","1059"
"35-39",""
"Female","1517"
"Male","1104"
"40-44",""
"Female","1547"
"Male","1165"
"45-49",""
"Female","1196"
"Male","1119"
"50-54",""
"Female","1108"
"Male","1080"
"55-59",""
"Female","798"
"Male","827"
"5-9",""
"Female","2604"
"Male","2607"
"60-64",""
"Female","732"
"Male","757"
"65-69",""
"Female","613"
"Male","593"
"70-74",""
"Female","510"
"Male","470"
"75+",""
"Female","594"
"Male","565"
