"Population by Single Year of Age","Number"
"0",""
"Female","377"
"Male","387"
"1",""
"Female","333"
"Male","367"
"10",""
"Female","679"
"Male","688"
"11",""
"Female","583"
"Male","591"
"12",""
"Female","697"
"Male","683"
"13",""
"Female","649"
"Male","644"
"14",""
"Female","717"
"Male","622"
"15",""
"Female","675"
"Male","552"
"16",""
"Female","601"
"Male","565"
"17",""
"Female","605"
"Male","490"
"18",""
"Female","643"
"Male","520"
"19",""
"Female","478"
"Male","295"
"2",""
"Female","393"
"Male","361"
"20",""
"Female","503"
"Male","383"
"21",""
"Female","449"
"Male","263"
"22",""
"Female","572"
"Male","308"
"23",""
"Female","383"
"Male","257"
"24",""
"Female","415"
"Male","304"
"25",""
"Female","487"
"Male","330"
"26",""
"Female","418"
"Male","305"
"27",""
"Female","356"
"Male","258"
"28",""
"Female","401"
"Male","292"
"29",""
"Female","209"
"Male","173"
"3",""
"Female","413"
"Male","422"
"30",""
"Female","541"
"Male","376"
"31",""
"Female","233"
"Male","151"
"32",""
"Female","340"
"Male","230"
"33",""
"Female","208"
"Male","140"
"34",""
"Female","233"
"Male","162"
"35",""
"Female","562"
"Male","354"
"36",""
"Female","294"
"Male","224"
"37",""
"Female","200"
"Male","171"
"38",""
"Female","268"
"Male","238"
"39",""
"Female","193"
"Male","117"
"4",""
"Female","450"
"Male","438"
"40",""
"Female","605"
"Male","417"
"41",""
"Female","182"
"Male","151"
"42",""
"Female","348"
"Male","250"
"43",""
"Female","241"
"Male","170"
"44",""
"Female","171"
"Male","177"
"45",""
"Female","425"
"Male","366"
"46",""
"Female","182"
"Male","193"
"47",""
"Female","186"
"Male","158"
"48",""
"Female","229"
"Male","245"
"49",""
"Female","174"
"Male","157"
"5",""
"Female","494"
"Male","517"
"50",""
"Female","471"
"Male","419"
"51",""
"Female","148"
"Male","168"
"52",""
"Female","205"
"Male","197"
"53",""
"Female","123"
"Male","162"
"54",""
"Female","161"
"Male","134"
"55",""
"Female","248"
"Male","247"
"56",""
"Female","145"
"Male","163"
"57",""
"Female","121"
"Male","137"
"58",""
"Female","147"
"Male","164"
"59",""
"Female","137"
"Male","116"
"6",""
"Female","506"
"Male","485"
"60",""
"Female","311"
"Male","309"
"61",""
"Female","138"
"Male","123"
"62",""
"Female","113"
"Male","131"
"63",""
"Female","94"
"Male","108"
"64",""
"Female","76"
"Male","86"
"65",""
"Female","230"
"Male","195"
"66",""
"Female","109"
"Male","105"
"67",""
"Female","105"
"Male","107"
"68",""
"Female","111"
"Male","126"
"69",""
"Female","58"
"Male","60"
"7",""
"Female","530"
"Male","476"
"70",""
"Female","228"
"Male","204"
"71",""
"Female","66"
"Male","62"
"72",""
"Female","106"
"Male","97"
"73",""
"Female","64"
"Male","59"
"74",""
"Female","46"
"Male","48"
"75",""
"Female","123"
"Male","101"
"76",""
"Female","43"
"Male","57"
"77",""
"Female","53"
"Male","41"
"78",""
"Female","74"
"Male","60"
"79",""
"Female","21"
"Male","29"
"8",""
"Female","525"
"Male","579"
"80",""
"Female","86"
"Male","70"
"81",""
"Female","19"
"Male","23"
"82",""
"Female","24"
"Male","32"
"83",""
"Female","25"
"Male","19"
"84",""
"Female","26"
"Male","29"
"85",""
"Female","100"
"Male","104"
"9",""
"Female","549"
"Male","550"
