"Industries Types","Number"
"Accommodation and food","414"
"Administrative and support service activity","5"
"Agriculture, forestry and fishing","244"
"Art, entertainment and recreation","2"
"Construction","54"
"Education","310"
"Electricty gas and water","10"
"Financial intermediation and insurance","25"
"Health and social work","82"
"Information and communications","5"
"Manufacturing","550"
"Mining and quarrying","1"
"Other service activities","84"
"Professional,scientific and techniqual activity","12"
"Real state, renting and business activities","0"
"Transport and storage","8"
"Water supply, wet management","34"
"Wholesale and retail trade","1695"
"Total","3535"
